stock_name,date,value,count,Individual_buy_count,NonIndividual_buy_count,Individual_sell_count,NonIndividual_sell_count,Individual_buy_volume,NonIndividual_buy_volume,Individual_sell_volume,NonIndividual_sell_volume,Individual_buy_value,NonIndividual_buy_value,Individual_sell_value,NonIndividual_sell_value,adj_max_price,adj_min_price,adj_first_price,adj_last_price,adj_volume,adj_close_price,change
وصنعت,2011-11-26,269300730,39,15,1,21,0,134036,100000,234036,0,154100730,115200000,269300730,0,96,95,95,95,234036,96,-0.086655112651647
وصنعت,2011-11-27,1117290735,123,48,2,37,1,680479,320000,880479,120000,760109468,357181267,982050735,135240000,95,92,95,92,1000479,93,-3.12228967909801
وصنعت,2011-11-28,1277863316,209,71,2,38,2,1073801,110000,625801,558000,1159208316,118655000,677068986,600794330,91,89,90,89,1183801,89,-3.40196956132498
وصنعت,2011-11-29,399911338,40,14,1,20,0,213016,144000,357016,0,238647638,161263700,399911338,0,93,91,91,93,357016,91,1.85356811862836
وصنعت,2011-11-30,1121685980,139,55,2,33,2,977970,32030,965462,44538,1086376131,35309849,1073035636,48650344,93,90,93,93,1010000,92,1.0919017288444
وصنعت,2011-12-03,914861402,108,45,1,22,0,797566,13993,811559,0,899153355,15708047,914861402,0,95,91,92,95,811559,93,1.44014401440144
وصنعت,2011-12-04,694653864,64,27,1,26,0,556787,36850,593637,0,651487214,43166650,694653864,0,97,96,96,97,593637,96,3.01685891748004
وصنعت,2011-12-07,3033083357,264,96,1,35,6,2320488,200000,1079987,1440501,2791683357,241400000,1298773599,1734309758,100,97,100,100,2520488,100,3.61757105943152
وصنعت,2011-12-10,953651048,148,64,0,44,0,806073,0,806073,0,953651048,0,953651048,0,103,96,103,97,806073,98,-1.66251039068994
وصنعت,2011-12-11,422750290,70,30,0,29,0,363797,0,363797,0,422750290,0,422750290,0,100,96,100,99,363797,97,-0.84530853761623
وصنعت,2011-12-12,522368339,68,22,1,31,2,138945,300000,402813,36132,164634459,357733880,479125449,43242890,100,97,99,99,438945,98,0.852514919011083
وصنعت,2011-12-13,709552451,102,26,0,44,0,588077,0,588077,0,709552451,0,709552451,0,101,98,98,98,588077,100,1.52155536770921
وصنعت,2011-12-14,554942853,93,26,0,33,1,469623,0,449623,20000,554942853,0,531342853,23600000,99,97,98,98,469623,99,-0.999167360532889
وصنعت,2011-12-17,430407335,74,24,0,24,0,370527,0,370527,0,430407335,0,430407335,0,97,96,96,96,370527,97,-1.17746005046257
وصنعت,2011-12-18,1228970148,106,37,0,54,0,1024716,0,1024716,0,1228970148,0,1228970148,0,101,98,98,101,1024716,99,2.04255319148936
وصنعت,2011-12-19,911596101,100,37,0,28,1,761846,0,756846,5000,911596101,0,905521101,6075000,101,98,101,98,761846,99,-0.166805671392827
وصنعت,2011-12-20,952932460,123,61,0,24,0,815441,0,815441,0,952932460,0,952932460,0,100,96,100,97,815441,97,-2.33918128654971
وصنعت,2011-12-21,1037800321,101,39,1,22,0,892848,5000,897848,0,1032010321,5790000,1037800321,0,96,95,96,95,897848,96,-1.11206159110351
وصنعت,2011-12-24,585271164,62,29,1,24,0,482851,15000,497851,0,567496164,17775000,585271164,0,99,96,96,97,497851,97,1.12456747404844
وصنعت,2011-12-25,950812632,87,46,1,20,0,812805,5000,817805,0,945032632,5780000,950812632,0,99,95,96,96,817805,96,-0.513259195893926
وصنعت,2011-12-26,629250320,79,24,0,25,1,541451,0,380125,161326,629250320,0,441422942,187827378,97,96,96,96,541451,96,-0.085984522785899
وصنعت,2011-12-27,574973580,65,24,0,33,1,496912,0,484180,12732,574973580,0,560191728,14781852,97,95,97,96,496912,96,-0.258175559380379
وصنعت,2011-12-28,658582889,83,36,1,21,2,556509,12578,348145,220942,644047455,14535434,403276111,255306778,99,95,99,97,569087,96,-0.086281276962899
وصنعت,2011-12-31,734773159,65,24,1,29,0,624362,422,624784,0,734277309,495850,734773159,0,98,97,97,98,624784,97,1.29533678756477
وصنعت,2012-01-01,975622640,96,24,1,55,0,800985,25010,825995,0,945980800,29641840,975622640,0,100,96,96,100,825995,98,0.682011935208866
